# Time	f1(t)	f2(t)
5.360268e+00	9.627200e-04	1.765572e-09
5.380269e+00	9.587186e-04	1.765752e-09
5.400270e+00	9.547348e-04	1.765899e-09
5.420271e+00	9.507682e-04	1.766015e-09
5.440272e+00	9.468189e-04	1.766099e-09
5.460273e+00	9.428867e-04	1.766152e-09
5.480274e+00	9.389716e-04	1.766174e-09
5.500275e+00	9.350734e-04	1.766165e-09
5.520276e+00	9.311921e-04	1.766125e-09
5.540277e+00	9.273275e-04	1.766055e-09
5.560278e+00	9.234795e-04	1.765955e-09
5.580279e+00	9.196482e-04	1.765825e-09
5.600280e+00	9.158333e-04	1.765666e-09
5.620281e+00	9.120348e-04	1.765477e-09
5.640282e+00	9.082526e-04	1.765260e-09
5.660283e+00	9.044866e-04	1.765013e-09
5.680284e+00	9.007367e-04	1.764739e-09
5.700285e+00	8.970029e-04	1.764435e-09
5.720286e+00	8.932850e-04	1.764104e-09
5.740287e+00	8.895830e-04	1.763745e-09
5.760288e+00	8.858968e-04	1.763358e-09
5.780289e+00	8.822263e-04	1.762944e-09
5.800290e+00	8.785715e-04	1.762503e-09
5.820291e+00	8.749321e-04	1.762035e-09
5.840292e+00	8.713083e-04	1.761541e-09
5.860293e+00	8.676998e-04	1.761020e-09
5.880294e+00	8.641066e-04	1.760473e-09
5.900295e+00	8.605287e-04	1.759900e-09
5.920296e+00	8.569659e-04	1.759301e-09
5.940297e+00	8.534182e-04	1.758677e-09
5.960298e+00	8.498855e-04	1.758027e-09
5.980299e+00	8.463678e-04	1.757353e-09
6.000300e+00	8.428649e-04	1.756653e-09
6.020301e+00	8.393768e-04	1.755929e-09
6.040302e+00	8.359034e-04	1.755181e-09
6.060303e+00	8.324446e-04	1.754408e-09
6.080304e+00	8.290005e-04	1.753612e-09
6.100305e+00	8.255708e-04	1.752792e-09
6.120306e+00	8.221556e-04	1.751948e-09
6.140307e+00	8.187547e-04	1.751081e-09
6.160308e+00	8.153682e-04	1.750190e-09
6.180309e+00	8.119958e-04	1.749277e-09
6.200310e+00	8.086377e-04	1.748342e-09
6.220311e+00	8.052936e-04	1.747383e-09
6.240312e+00	8.019636e-04	1.746403e-09
6.260313e+00	7.986475e-04	1.745400e-09
6.280314e+00	7.953453e-04	1.744375e-09
6.300315e+00	7.920570e-04	1.743329e-09
6.320316e+00	7.887824e-04	1.742261e-09
6.340317e+00	7.855216e-04	1.741172e-09
6.360318e+00	7.822744e-04	1.740062e-09
6.380319e+00	7.790407e-04	1.738931e-09
6.400320e+00	7.758206e-04	1.737780e-09
6.420321e+00	7.726140e-04	1.736608e-09
6.440322e+00	7.694208e-04	1.735415e-09
6.460323e+00	7.662409e-04	1.734202e-09
6.480324e+00	7.630743e-04	1.732970e-09
6.500325e+00	7.599209e-04	1.731718e-09
6.520326e+00	7.567806e-04	1.730446e-09
6.540327e+00	7.536535e-04	1.729154e-09
6.560328e+00	7.505394e-04	1.727844e-09
6.580329e+00	7.474383e-04	1.726514e-09
6.600330e+00	7.443501e-04	1.725166e-09
6.620331e+00	7.412748e-04	1.723799e-09
6.640332e+00	7.382123e-04	1.722414e-09
6.660333e+00	7.351625e-04	1.721010e-09
6.680334e+00	7.321255e-04	1.719588e-09
6.700335e+00	7.291010e-04	1.718148e-09
6.720336e+00	7.260892e-04	1.716691e-09
6.740337e+00	7.230899e-04	1.715216e-09
6.760338e+00	7.201031e-04	1.713723e-09
6.780339e+00	7.171287e-04	1.712213e-09
6.800340e+00	7.141667e-04	1.710686e-09
6.820341e+00	7.112170e-04	1.709142e-09
6.840342e+00	7.082795e-04	1.707582e-09
6.860343e+00	7.053542e-04	1.706005e-09
6.880344e+00	7.024411e-04	1.704411e-09
6.900345e+00	6.995402e-04	1.702801e-09
6.920346e+00	6.966512e-04	1.701175e-09
6.940347e+00	6.937742e-04	1.699533e-09
6.960348e+00	6.909092e-04	1.697876e-09
6.980349e+00	6.880561e-04	1.696203e-09
7.000350e+00	6.852148e-04	1.694514e-09
7.020351e+00	6.823854e-04	1.692810e-09
7.040352e+00	6.795676e-04	1.691091e-09
7.060353e+00	6.767615e-04	1.689357e-09
7.080354e+00	6.739671e-04	1.687608e-09
7.100355e+00	6.711843e-04	1.685844e-09
7.120356e+00	6.684130e-04	1.684066e-09
7.140357e+00	6.656532e-04	1.682274e-09
7.160358e+00	6.629048e-04	1.680467e-09
7.180359e+00	6.601679e-04	1.678646e-09
7.200360e+00	6.574422e-04	1.676811e-09
7.220361e+00	6.547279e-04	1.674963e-09
7.240362e+00	6.520248e-04	1.673101e-09
7.260363e+00	6.493329e-04	1.671225e-09
7.280364e+00	6.466522e-04	1.669336e-09
7.300365e+00	6.439826e-04	1.667434e-09
7.320366e+00	6.413240e-04	1.665519e-09
7.340367e+00	6.386764e-04	1.663591e-09
7.360368e+00	6.360398e-04	1.661650e-09
7.380369e+00	6.334141e-04	1.659697e-09
7.400370e+00	6.307993e-04	1.657731e-09
7.420371e+00	6.281953e-04	1.655753e-09
7.440372e+00	6.256021e-04	1.653762e-09
7.460373e+00	6.230196e-04	1.651759e-09
7.480374e+00	6.204478e-04	1.649745e-09
7.500375e+00	6.178867e-04	1.647719e-09
7.520376e+00	6.153361e-04	1.645681e-09
7.540377e+00	6.127961e-04	1.643631e-09
7.560378e+00	6.102667e-04	1.641570e-09
7.580379e+00	6.077476e-04	1.639498e-09
7.600380e+00	6.052390e-04	1.637414e-09
7.620381e+00	6.027408e-04	1.635320e-09
7.640382e+00	6.002529e-04	1.633214e-09
7.660383e+00	5.977753e-04	1.631098e-09
7.680384e+00	5.953080e-04	1.628972e-09
7.700385e+00	5.928508e-04	1.626834e-09
7.720386e+00	5.904038e-04	1.624687e-09
7.740387e+00	5.879669e-04	1.622529e-09
7.760388e+00	5.855401e-04	1.620361e-09
7.780389e+00	5.831234e-04	1.618183e-09
7.800390e+00	5.807166e-04	1.615995e-09
7.820391e+00	5.783198e-04	1.613797e-09
7.840392e+00	5.759329e-04	1.611589e-09
7.860393e+00	5.735558e-04	1.609372e-09
7.880394e+00	5.711886e-04	1.607146e-09
7.900395e+00	5.688312e-04	1.604910e-09
7.920396e+00	5.664835e-04	1.602665e-09
7.940397e+00	5.641455e-04	1.600411e-09
7.960398e+00	5.618172e-04	1.598148e-09
7.980399e+00	5.594985e-04	1.595876e-09
8.000400e+00	5.571893e-04	1.593596e-09
8.020401e+00	5.548898e-04	1.591306e-09
8.040402e+00	5.525997e-04	1.589009e-09
8.060403e+00	5.503191e-04	1.586702e-09
8.080404e+00	5.480479e-04	1.584388e-09
8.100405e+00	5.457861e-04	1.582065e-09
8.120406e+00	5.435336e-04	1.579735e-09
8.140407e+00	5.412904e-04	1.577396e-09
8.160408e+00	5.390566e-04	1.575049e-09
8.180409e+00	5.368319e-04	1.572695e-09
8.200410e+00	5.346164e-04	1.570333e-09
8.220411e+00	5.324101e-04	1.567964e-09
8.240412e+00	5.302129e-04	1.565587e-09
8.260413e+00	5.280248e-04	1.563202e-09
8.280414e+00	5.258457e-04	1.560811e-09
8.300415e+00	5.236756e-04	1.558412e-09
8.320416e+00	5.215145e-04	1.556006e-09
8.340417e+00	5.193623e-04	1.553593e-09
8.360418e+00	5.172190e-04	1.551174e-09
8.380419e+00	5.150845e-04	1.548748e-09
8.400420e+00	5.129589e-04	1.546315e-09
8.420421e+00	5.108420e-04	1.543875e-09
8.440422e+00	5.087339e-04	1.541429e-09
8.460423e+00	5.066345e-04	1.538977e-09
8.480424e+00	5.045437e-04	1.536519e-09
8.500425e+00	5.024616e-04	1.534054e-09
8.520426e+00	5.003881e-04	1.531583e-09
8.540427e+00	4.983231e-04	1.529106e-09
8.560428e+00	4.962667e-04	1.526624e-09
8.580429e+00	4.942188e-04	1.524135e-09
8.600430e+00	4.921793e-04	1.521641e-09
8.620431e+00	4.901483e-04	1.519141e-09
8.640432e+00	4.881256e-04	1.516636e-09
8.660433e+00	4.861113e-04	1.514126e-09
8.680434e+00	4.841053e-04	1.511610e-09
8.700435e+00	4.821076e-04	1.509088e-09
8.720436e+00	4.801181e-04	1.506562e-09
8.740437e+00	4.781368e-04	1.504030e-09
8.760438e+00	4.761638e-04	1.501494e-09
8.780439e+00	4.741988e-04	1.498952e-09
8.800440e+00	4.722420e-04	1.496406e-09
8.820441e+00	4.702933e-04	1.493855e-09
8.840442e+00	4.683526e-04	1.491299e-09
8.860443e+00	4.664199e-04	1.488739e-09
8.880444e+00	4.644952e-04	1.486174e-09
8.900445e+00	4.625785e-04	1.483605e-09
8.920446e+00	4.606696e-04	1.481032e-09
8.940447e+00	4.587687e-04	1.478454e-09
8.960448e+00	4.568756e-04	1.475872e-09
8.980449e+00	4.549903e-04	1.473286e-09
9.000450e+00	4.531127e-04	1.470696e-09
9.020451e+00	4.512430e-04	1.468102e-09
9.040452e+00	4.493809e-04	1.465504e-09
9.060453e+00	4.475266e-04	1.462903e-09
9.080454e+00	4.456799e-04	1.460297e-09
9.100455e+00	4.438408e-04	1.457688e-09
9.120456e+00	4.420093e-04	1.455076e-09
9.140457e+00	4.401854e-04	1.452460e-09
9.160458e+00	4.383690e-04	1.449840e-09
9.180459e+00	4.365601e-04	1.447218e-09
9.200460e+00	4.347586e-04	1.444592e-09
9.220461e+00	4.329647e-04	1.441963e-09
9.240462e+00	4.311781e-04	1.439330e-09
9.260463e+00	4.293988e-04	1.436695e-09
9.280464e+00	4.276270e-04	1.434057e-09
9.300465e+00	4.258624e-04	1.431416e-09
9.320466e+00	4.241051e-04	1.428772e-09
9.340467e+00	4.223551e-04	1.426125e-09
9.360468e+00	4.206123e-04	1.423476e-09
9.380469e+00	4.188767e-04	1.420823e-09
9.400470e+00	4.171483e-04	1.418169e-09
9.420471e+00	4.154270e-04	1.415512e-09
9.440472e+00	4.137128e-04	1.412852e-09
9.460473e+00	4.120056e-04	1.410190e-09
9.480474e+00	4.103055e-04	1.407526e-09
9.500475e+00	4.086125e-04	1.404860e-09
9.520476e+00	4.069264e-04	1.402191e-09
9.540477e+00	4.052473e-04	1.399520e-09
9.560478e+00	4.035751e-04	1.396848e-09
9.580479e+00	4.019098e-04	1.394173e-09
9.600480e+00	4.002514e-04	1.391496e-09
9.620481e+00	3.985998e-04	1.388818e-09
9.640482e+00	3.969551e-04	1.386138e-09
9.660483e+00	3.953171e-04	1.383456e-09
9.680484e+00	3.936859e-04	1.380772e-09
9.700485e+00	3.920615e-04	1.378087e-09
9.720486e+00	3.904437e-04	1.375400e-09
9.740487e+00	3.888326e-04	1.372712e-09
9.760488e+00	3.872282e-04	1.370022e-09
9.780489e+00	3.856304e-04	1.367331e-09
9.800490e+00	3.840391e-04	1.364639e-09
9.820491e+00	3.824545e-04	1.361945e-09
9.840492e+00	3.808764e-04	1.359251e-09
9.860493e+00	3.793048e-04	1.356555e-09
9.880494e+00	3.777397e-04	1.353858e-09
9.900495e+00	3.761810e-04	1.351160e-09
9.920496e+00	3.746288e-04	1.348461e-09
9.940497e+00	3.730830e-04	1.345761e-09
9.960498e+00	3.715435e-04	1.343060e-09
9.980499e+00	3.700104e-04	1.340358e-09
1.000050e+01	3.684837e-04	1.337656e-09
1.002050e+01	3.669632e-04	1.334953e-09
1.004050e+01	3.654491e-04	1.332249e-09
1.006050e+01	3.639411e-04	1.329545e-09
1.008050e+01	3.624394e-04	1.326840e-09
1.010051e+01	3.609439e-04	1.324135e-09
1.012051e+01	3.594546e-04	1.321429e-09
1.014051e+01	3.579714e-04	1.318723e-09
1.016051e+01	3.564943e-04	1.316016e-09
1.018051e+01	3.550233e-04	1.313309e-09
1.020051e+01	3.535584e-04	1.310602e-09
1.022051e+01	3.520996e-04	1.307895e-09
1.024051e+01	3.506467e-04	1.305188e-09
1.026051e+01	3.491999e-04	1.302480e-09
1.028051e+01	3.477590e-04	1.299773e-09
1.030052e+01	3.463241e-04	1.297065e-09
1.032052e+01	3.448951e-04	1.294358e-09
1.034052e+01	3.434720e-04	1.291650e-09
1.036052e+01	3.420548e-04	1.288943e-09
1.038052e+01	3.406434e-04	1.286236e-09
1.040052e+01	3.392378e-04	1.283529e-09
1.042052e+01	3.378381e-04	1.280822e-09
1.044052e+01	3.364441e-04	1.278116e-09
1.046052e+01	3.350559e-04	1.275410e-09
1.048052e+01	3.336734e-04	1.272705e-09
1.050053e+01	3.322966e-04	1.270000e-09
1.052053e+01	3.309255e-04	1.267295e-09
1.054053e+01	3.295600e-04	1.264591e-09
1.056053e+01	3.282002e-04	1.261888e-09
1.058053e+01	3.268460e-04	1.259185e-09
1.060053e+01	3.254974e-04	1.256483e-09
1.062053e+01	3.241543e-04	1.253781e-09
1.064053e+01	3.228168e-04	1.251080e-09
1.066053e+01	3.214848e-04	1.248380e-09
1.068053e+01	3.201583e-04	1.245681e-09
1.070054e+01	3.188373e-04	1.242983e-09
1.072054e+01	3.175217e-04	1.240286e-09
1.074054e+01	3.162116e-04	1.237589e-09
1.076054e+01	3.149069e-04	1.234894e-09
1.078054e+01	3.136075e-04	1.232199e-09
1.080054e+01	3.123135e-04	1.229506e-09
1.082054e+01	3.110249e-04	1.226814e-09
1.084054e+01	3.097416e-04	1.224122e-09
1.086054e+01	3.084635e-04	1.221432e-09
1.088054e+01	3.071908e-04	1.218744e-09
1.090055e+01	3.059233e-04	1.216056e-09
1.092055e+01	3.046610e-04	1.213370e-09
1.094055e+01	3.034039e-04	1.210685e-09
1.096055e+01	3.021520e-04	1.208001e-09
1.098055e+01	3.009053e-04	1.205319e-09
1.100055e+01	2.996638e-04	1.202638e-09
1.102055e+01	2.984273e-04	1.199959e-09
1.104055e+01	2.971960e-04	1.197281e-09
1.106055e+01	2.959697e-04	1.194605e-09
1.108055e+01	2.947485e-04	1.191930e-09
1.110056e+01	2.935324e-04	1.189257e-09
1.112056e+01	2.923212e-04	1.186585e-09
1.114056e+01	2.911151e-04	1.183915e-09
1.116056e+01	2.899139e-04	1.181247e-09
1.118056e+01	2.887177e-04	1.178581e-09
1.120056e+01	2.875264e-04	1.175916e-09
1.122056e+01	2.863401e-04	1.173253e-09
1.124056e+01	2.851586e-04	1.170592e-09
1.126056e+01	2.839820e-04	1.167933e-09
1.128056e+01	2.828103e-04	1.165275e-09
1.130057e+01	2.816434e-04	1.162620e-09
1.132057e+01	2.804813e-04	1.159966e-09
1.134057e+01	2.793241e-04	1.157314e-09
1.136057e+01	2.781716e-04	1.154665e-09
1.138057e+01	2.770238e-04	1.152017e-09
1.140057e+01	2.758808e-04	1.149372e-09
1.142057e+01	2.747425e-04	1.146728e-09
1.144057e+01	2.736089e-04	1.144087e-09
1.146057e+01	2.724800e-04	1.141448e-09
1.148057e+01	2.713557e-04	1.138811e-09
1.150058e+01	2.702361e-04	1.136176e-09
